block_number,slot,block_datetime_utc,block_timestamp_unix,age_raw,age_seconds_at_scrape,blobs_count,blobs_percent,txn_count,fee_recipient,gas_used,gas_used_percent,gas_limit,base_fee_gwei,reward_eth,burnt_fees_eth,burnt_fees_percent,source_page,source_row,source_url,scraped_at_utc
24884214,14118338,2026-04-15T09:07:59+00:00,1776244079,16 hrs ago,57600,1,5,441,BuilderNet,38379375,63.97,60000000,0.049,0.00647,0.001902,22.72,50,100,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884215,14118339,2026-04-15T09:08:11+00:00,1776244091,16 hrs ago,57600,1,5,255,Titan Builder,32185644,53.64,60000000,0.051,0.00777,0.001651,17.51,50,99,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884216,14118340,2026-04-15T09:08:23+00:00,1776244103,16 hrs ago,57600,5,24,270,BuilderNet,27270757,45.5,59941408,0.051,0.00742,0.001412,15.97,50,98,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884217,14118341,2026-04-15T09:08:35+00:00,1776244115,16 hrs ago,57600,1,5,228,Titan Builder,29918079,49.86,59999943,0.051,0.01254,0.001531,10.87,50,97,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884218,14118342,2026-04-15T09:08:47+00:00,1776244127,16 hrs ago,57600,3,14,147,Titan Builder,19667770,32.78,60000000,0.051,0.01039,0.001006,8.82,50,96,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884219,14118343,2026-04-15T09:08:59+00:00,1776244139,16 hrs ago,57600,0,0,396,BuilderNet,35288949,58.81,60000000,0.048,0.00717,0.001728,19.41,50,95,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884220,14118344,2026-04-15T09:09:11+00:00,1776244151,16 hrs ago,57600,11,52,272,Titan Builder,34376748,57.29,60000000,0.05,0.00719,0.00172,19.3,50,94,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884221,14118345,2026-04-15T09:09:23+00:00,1776244163,16 hrs ago,57600,13,62,243,BuilderNet,36450215,60.75,60000000,0.05,0.00529,0.001857,25.96,50,93,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884222,14118346,2026-04-15T09:09:35+00:00,1776244175,16 hrs ago,57600,0,0,247,Titan Builder,27777488,46.3,60000000,0.052,0.00752,0.001453,16.19,50,92,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884223,14118347,2026-04-15T09:09:47+00:00,1776244187,16 hrs ago,57600,7,33,313,BuilderNet,24069029,40.15,59941408,0.051,0.01006,0.001248,11.03,50,91,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884224,14118348,2026-04-15T09:09:59+00:00,1776244199,16 hrs ago,57600,5,24,252,Titan Builder,36388357,60.65,59999943,0.05,0.00654,0.00184,21.95,50,90,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884225,14118349,2026-04-15T09:10:11+00:00,1776244211,16 hrs ago,57600,0,0,198,Titan Builder,29930354,49.88,60000000,0.051,0.00795,0.001553,16.34,50,89,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884226,14118350,2026-04-15T09:10:23+00:00,1776244223,16 hrs ago,57600,1,5,303,Titan Builder,30829462,51.43,59941408,0.051,0.00731,0.0016,17.95,50,88,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884227,14118351,2026-04-15T09:10:35+00:00,1776244235,16 hrs ago,57600,5,24,24,quasarbuilder,1063119,1.77,59999943,0.052,0.00305,5.5e-05,1.78,50,87,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884228,14118352,2026-04-15T09:10:47+00:00,1776244247,16 hrs ago,57600,1,5,566,Titan Builder,42422018,70.7,60000000,0.045,0.01167,0.001943,14.26,50,86,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884229,14118353,2026-04-15T09:10:59+00:00,1776244259,16 hrs ago,57600,0,0,330,Titan Builder,37006765,61.68,60000000,0.048,0.02508,0.001782,6.64,50,85,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884230,14118354,2026-04-15T09:11:11+00:00,1776244271,16 hrs ago,57600,5,24,355,Titan Builder,44391340,73.99,60000000,0.049,0.00903,0.002201,19.58,50,84,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884231,14118355,2026-04-15T09:11:23+00:00,1776244283,16 hrs ago,57600,0,0,252,Titan Builder,32188026,53.65,60000000,0.052,0.01055,0.001691,13.81,50,83,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884232,14118356,2026-04-15T09:11:35+00:00,1776244295,16 hrs ago,57600,8,38,402,Titan Builder,42378037,70.63,60000000,0.053,0.01016,0.002247,18.11,50,82,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884233,14118357,2026-04-15T09:11:47+00:00,1776244307,16 hrs ago,57600,2,10,248,Titan Builder,42533362,70.89,60000000,0.055,0.02139,0.002372,9.98,50,81,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884234,14118358,2026-04-15T09:11:59+00:00,1776244319,16 hrs ago,57600,0,0,29,quasarbuilder,5072608,8.45,60000000,0.058,0.00211,0.000298,12.35,50,80,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
