block_number,slot,block_datetime_utc,block_timestamp_unix,age_raw,age_seconds_at_scrape,blobs_count,blobs_percent,txn_count,fee_recipient,gas_used,gas_used_percent,gas_limit,base_fee_gwei,reward_eth,burnt_fees_eth,burnt_fees_percent,source_page,source_row,source_url,scraped_at_utc,congestion_ratio,rolling_avg_txn_5,rolling_avg_txn_20,rolling_avg_gas_used_5,rolling_avg_gas_used_20,rolling_avg_base_fee_5,rolling_avg_base_fee_20,rolling_avg_congestion_5,rolling_avg_congestion_20,txn_change_1,gas_used_change_1,base_fee_change_1,txn_volatility_20,gas_used_volatility_20,base_fee_volatility_20,short_term_congestion_indicator,congestion_proxy_1h,congestion_proxy_24h,congestion_proxy_1h_window_blocks,congestion_proxy_24h_window_blocks,congestion_flag_high,congestion_flag_low,congestion_level,one_hour_high_congestion_flag,twenty_four_hour_high_congestion_flag,txn_momentum_5_20,gas_used_momentum_5_20,base_fee_momentum_5_20,congestion_momentum_5_20,utilization_trend_20,gas_used_to_recent_avg,txn_to_recent_avg,base_fee_to_recent_avg,base_fee_spike_flag,gas_used_spike_flag,txn_spike_flag,recent_reward_avg_20,recent_burnt_fees_avg_20,block_interval_seconds,hour_utc,day_of_week_utc,is_weekend_utc,target_next_block_number,target_next_gas_used,target_next_base_fee_gwei,target_next_congestion_ratio,target_next_congestion_flag_high
24884214,14118338,2026-04-15T09:07:59+00:00,1776244079,16 hrs ago,57600,1,5,441,BuilderNet,38379375,63.97,60000000,0.049,0.00647,0.001902,22.72,50,100,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00,0.63965625,441,441,38379375,38379375,0.049,0.049,0.63965625,0.63965625,0,0,0,0,0,0,0,0.63965625,0.63965625,1,1,0,0,medium,0,0,0,0,0,0,0,1,1,1,0,0,0,0.00647,0.001902,,9,2,0,24884215,32185644,0.051,0.5364274,0
24884215,14118339,2026-04-15T09:08:11+00:00,1776244091,16 hrs ago,57600,1,5,255,Titan Builder,32185644,53.64,60000000,0.051,0.00777,0.001651,17.51,50,99,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00,0.5364274,348,348,35282509.5,35282509.5,0.05,0.05,0.588041825,0.588041825,-186,-6193731,0.002,93,3096865.5,0.001,0,0.588041825,0.588041825,2,2,0,0,medium,0,0,0,0,0,0,-0.051614425,0.9122266091,0.7327586207,1.02,0,0,0,0.00712,0.0017765,12,9,2,0,24884216,27270757,0.051,0.4549568972,0
24884216,14118340,2026-04-15T09:08:23+00:00,1776244103,16 hrs ago,57600,5,24,270,BuilderNet,27270757,45.5,59941408,0.051,0.00742,0.001412,15.97,50,98,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00,0.4549568972,322,322,32611925.33,32611925.33,0.05033333333,0.05033333333,0.5436801824,0.5436801824,15,-4914887,0,84.36824047,4545080.513,0.0009428090416,0,0.5436801824,0.5436801824,3,3,0,0,medium,0,0,0,0,0,0,-0.08872328517,0.8362203924,0.8385093168,1.013245033,0,0,0,0.00722,0.001655,12,9,2,0,24884217,29918079,0.051,0.4986351237,0
24884217,14118341,2026-04-15T09:08:35+00:00,1776244115,16 hrs ago,57600,1,5,228,Titan Builder,29918079,49.86,59999943,0.051,0.01254,0.001531,10.87,50,97,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00,0.4986351237,298.5,298.5,31938463.75,31938463.75,0.0505,0.0505,0.5324189177,0.5324189177,-42,2647322,0,83.63761116,4105358.591,0.0008660254038,0,0.5324189177,0.5324189177,4,4,0,0,medium,0,0,0,0,0,0,-0.03378379403,0.9367413296,0.7638190955,1.00990099,0,0,0,0.00855,0.001624,12,9,2,0,24884218,19667770,0.051,0.3277961667,0
24884218,14118342,2026-04-15T09:08:47+00:00,1776244127,16 hrs ago,57600,3,14,147,Titan Builder,19667770,32.78,60000000,0.051,0.01039,0.001006,8.82,50,96,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00,0.3277961667,268.2,268.2,29484325,29484325,0.0506,0.0506,0.4914943675,0.4914943675,-81,-10250309,0,96.2733608,6129793.092,0.0008,0,0.4914943675,0.4914943675,5,5,0,1,low,0,0,0,0,0,0,-0.1636982009,0.6670585133,0.548098434,1.007905138,0,0,0,0.008918,0.0015004,12,9,2,0,24884219,35288949,0.048,0.58814915,0
24884219,14118343,2026-04-15T09:08:59+00:00,1776244139,16 hrs ago,57600,0,0,396,BuilderNet,35288949,58.81,60000000,0.048,0.00717,0.001728,19.41,50,95,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00,0.58814915,259.2,289.5,28866239.8,30451762.33,0.0504,0.05016666667,0.4811929475,0.5076034979,249,15621179,-0.003,99.96124249,5999303.662,0.001213351648,0,0.5076034979,0.5076034979,6,6,0,0,medium,0,0,-30.3,-1585522.533,0.0002333333333,-0.02641055041,0.08054565206,1.158847511,1.367875648,0.9568106312,0,0,0,0.008626666667,0.001538333333,12,9,2,0,24884220,34376748,0.05,0.5729458,0
24884220,14118344,2026-04-15T09:09:11+00:00,1776244151,16 hrs ago,57600,11,52,272,Titan Builder,34376748,57.29,60000000,0.05,0.00719,0.00172,19.3,50,94,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00,0.5729458,262.6,287,29304460.6,31012474.57,0.0502,0.05014285714,0.4884966275,0.5169381125,-124,-912201,0.002,92.74850788,5721570.608,0.001124858268,0,0.5169381125,0.5169381125,7,7,0,0,medium,0,0,-24.4,-1708013.971,5.714285714e-05,-0.02844148499,0.05600768748,1.108481296,0.9477351916,0.9971509972,0,0,0,0.008421428571,0.001564285714,12,9,2,0,24884221,36450215,0.05,0.6075035833,0
24884221,14118345,2026-04-15T09:09:23+00:00,1776244163,16 hrs ago,57600,13,62,243,BuilderNet,36450215,60.75,60000000,0.05,0.00529,0.001857,25.96,50,93,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00,0.6075035833,257.2,281.5,31140352.2,31692192.12,0.05,0.050125,0.5190059647,0.5282587964,-29,2073467,0,87.9701654,5646099.15,0.001053268722,0,0.5282587964,0.5282587964,8,8,0,0,medium,0,0,-24.3,-551839.925,-0.000125,-0.009252831628,0.07924478697,1.150132337,0.8632326821,0.9975062344,0,0,0,0.00803,0.001600875,12,9,2,0,24884222,27777488,0.052,0.4629581333,0
24884222,14118346,2026-04-15T09:09:35+00:00,1776244175,16 hrs ago,57600,0,0,247,Titan Builder,27777488,46.3,60000000,0.052,0.00752,0.001453,16.19,50,92,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00,0.4629581333,261,277.6666667,30712234,31257225,0.0502,0.05033333333,0.5118705667,0.5210031671,4,-8672727,0.002,83.64475145,5463511.546,0.001154700538,0,0.5210031671,0.5210031671,9,9,0,0,medium,0,0,-16.66666667,-544991,-0.0001333333333,-0.009132600475,-0.05804503381,0.8886741545,0.8895558223,1.033112583,0,0,0,0.007973333333,0.001584444444,12,9,2,0,24884223,24069029,0.051,0.4015426031,0
24884223,14118347,2026-04-15T09:09:47+00:00,1776244187,16 hrs ago,57600,7,33,313,BuilderNet,24069029,40.15,59941408,0.051,0.01006,0.001248,11.03,50,91,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00,0.4015426031,294.2,281.2,31592485.8,30538405.4,0.0502,0.0504,0.5266198539,0.5090571107,66,-3708459,-0.001,80.05722953,5613846.91,0.001113552873,0,0.5090571107,0.5090571107,10,10,0,0,medium,0,0,13,1054080.4,-0.0002,0.01756274321,-0.1075145077,0.7881560509,1.113086771,1.011904762,0,0,0,0.008182,0.0015508,12,9,2,0,24884224,36388357,0.05,0.6064731928,0
